"","Pollster","Start.Date","End.Date","Entry.Date.Time","Number.of.Observations","Population","Mode","Clinton","Sanders","Biden","Chafee","Lessig","O.Malley","Webb","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Poll.Length","DOW","Weekday","Month","MonthName","Quarter","Year"
"94","NBC/WSJ",2015-10-25,2015-10-29,2015-11-03 16:49:49,400,"Likely Voters - Democrat","Live Phone",62,31,NA,NA,NA,3,NA,3,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23052",NA,"Nonpartisan","None",4,"0","Sunday","10","October",4,"2015"
"95","IBD/TIPP",2015-10-24,2015-10-29,2015-10-31 23:04:27,356,"Registered Voters - Democrat","Live Phone",48,33,NA,NA,NA,2,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23039",NA,"Nonpartisan","None",5,"6","Saturday","10","October",4,"2015"
"96","Ipsos/Reuters",2015-10-24,2015-10-28,2015-10-29 16:44:01,676,"Adults - Democrat","Internet",53,33,NA,NA,NA,2,NA,12,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23026",NA,"Nonpartisan","None",4,"6","Saturday","10","October",4,"2015"
"97","YouGov/Economist",2015-10-23,2015-10-27,2015-10-28 18:21:17,654,"Registered Voters - Democrat","Internet",61,29,NA,NA,1,2,NA,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23013",NA,"Nonpartisan","None",4,"5","Friday","10","October",4,"2015"
"98","Gravis Marketing/One America News",2015-10-26,2015-10-26,2015-10-27 22:23:40,1037,"Registered Voters - Democrat","Automated Phone",58,16,NA,NA,NA,3,NA,24,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23005",NA,"Sponsor","Rep",0,"1","Monday","10","October",4,"2015"
"99","Morning Consult",2015-10-22,2015-10-25,2015-10-26 21:12:38,688,"Registered Voters - Democrat","Internet",53,26,NA,NA,NA,5,NA,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22994",NA,"Nonpartisan","None",3,"4","Thursday","10","October",4,"2015"
"100","Ipsos/Reuters",2015-10-17,2015-10-21,2015-10-23 17:26:32,873,"Adults - Democrat","Internet",45,29,16,1,NA,1,NA,9,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22974",NA,"Nonpartisan","None",4,"6","Saturday","10","October",4,"2015"
"101","Morning Consult",2015-10-15,2015-10-19,2015-10-20 17:31:31,895,"Registered Voters - Democrat","Internet",56,24,NA,1,NA,1,1,12,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22950",NA,"Nonpartisan","None",4,"4","Thursday","10","October",4,"2015"
"102","ABC/Post",2015-10-15,2015-10-18,2015-10-20 14:01:48,444,"Registered Voters - Democrat","Live Phone",54,23,16,0,NA,1,1,5,"http://elections.huffingtonpost.com/pollster/polls/abc-post-22942",NA,"Nonpartisan","None",3,"4","Thursday","10","October",4,"2015"
"103","Monmouth University",2015-10-15,2015-10-18,2015-10-19 16:48:54,340,"Registered Voters - Democrat","Live Phone",48,21,17,0,1,1,1,12,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22939",NA,"Nonpartisan","None",3,"4","Thursday","10","October",4,"2015"
"104","NBC/WSJ",2015-10-15,2015-10-18,2015-10-20 13:55:51,400,"Likely Voters - Democrat","Live Phone",49,29,15,0,NA,1,2,4,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22941",NA,"Nonpartisan","None",3,"4","Thursday","10","October",4,"2015"
"105","Emerson College Polling Society",2015-10-16,2015-10-17,2015-10-20 18:55:01,390,"Likely Voters - Democrat","Automated Phone",68,20,NA,0,NA,3,1,6,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22951",NA,"Nonpartisan","None",1,"5","Friday","10","October",4,"2015"
"106","CNN",2015-10-14,2015-10-17,2015-10-19 13:51:22,425,"Registered Voters - Democrat","Live Phone",45,29,18,0,0,0,1,5,"http://elections.huffingtonpost.com/pollster/polls/cnn-22934",NA,"Nonpartisan","None",3,"3","Wednesday","10","October",4,"2015"
"107","NBC/SurveyMonkey",2015-10-13,2015-10-15,2015-10-16 20:53:14,1857,"Registered Voters - Democrat","Internet",45,31,10,0,0,1,1,9,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22931",NA,"Nonpartisan","None",2,"2","Tuesday","10","October",4,"2015"
"108","Ipsos/Reuters",2015-10-10,2015-10-14,2015-10-16 21:05:43,530,"Adults - Democrat","Internet",51,24,16,1,NA,2,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22933",NA,"Nonpartisan","None",4,"6","Saturday","10","October",4,"2015"
"109","FOX",2015-10-10,2015-10-12,2015-10-13 16:22:25,353,"Likely Voters - Democrat","Live Phone",45,25,19,0,0,1,0,5,"http://elections.huffingtonpost.com/pollster/polls/fox-22904",NA,"Nonpartisan","None",2,"6","Saturday","10","October",4,"2015"
"110","Morning Consult",2015-10-08,2015-10-12,2015-10-13 15:48:47,826,"Registered Voters - Democrat","Internet",54,22,NA,1,NA,1,1,15,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22902",NA,"Nonpartisan","None",4,"4","Thursday","10","October",4,"2015"
"111","YouGov/Economist",2015-10-08,2015-10-12,2015-10-14 21:28:25,633,"Registered Voters - Democrat","Internet",48,23,20,1,1,2,0,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22919",NA,"Nonpartisan","None",4,"4","Thursday","10","October",4,"2015"
"112","CBS",2015-10-04,2015-10-08,2015-10-12 15:48:21,311,"Registered Voters - Democrat","Live Phone",46,27,16,0,0,0,2,5,"http://elections.huffingtonpost.com/pollster/polls/cbs-22888",NA,"Nonpartisan","None",4,"0","Sunday","10","October",4,"2015"
"113","Ipsos/Reuters",2015-10-03,2015-10-07,2015-10-08 14:41:05,640,"Adults - Democrat","Internet",44,27,18,1,NA,2,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22871",NA,"Nonpartisan","None",4,"6","Saturday","10","October",4,"2015"
"114","Morning Consult",2015-10-02,2015-10-05,2015-10-06 21:34:11,827,"Registered Voters - Democrat","Internet",48,27,NA,2,NA,1,1,13,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22858",NA,"Nonpartisan","None",3,"5","Friday","10","October",4,"2015"
"115","Fairleigh Dickinson",2015-10-01,2015-10-05,2015-10-08 22:22:35,339,"Registered Voters - Democrat","Live Phone",45,23,17,0,0,1,1,10,"http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-22878",NA,"Nonpartisan","None",4,"4","Thursday","10","October",4,"2015"
"116","PPP (D)",2015-10-01,2015-10-04,2015-10-06 15:30:32,551,"Likely Voters - Democrat","IVR/Online",42,24,20,1,0,1,2,9,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22854",NA,"Pollster","Dem",3,"4","Thursday","10","October",4,"2015"
"117","Public Religion Research Institute",2015-09-11,2015-10-04,2015-11-23 17:38:53,388,"Likely Voters - Democrat","Live Phone",55,17,23,NA,NA,0,1,2,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23215",NA,"Nonpartisan","None",23,"5","Friday","09","September",3,"2015"
"118","Gravis Marketing/One America News",2015-09-30,2015-10-01,2015-10-07 17:07:13,1021,"Likely Voters - Democrat","Automated Phone",44,25,23,2,NA,2,3,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22863",NA,"Sponsor","Rep",1,"3","Wednesday","09","September",3,"2015"
"119","IBD/TIPP",2015-09-26,2015-10-01,2015-10-05 15:55:07,344,"Registered Voters - Democrat","Live Phone",42,18,22,NA,NA,NA,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-22844",NA,"Nonpartisan","None",5,"6","Saturday","09","September",3,"2015"
"120","Ipsos/Reuters",2015-09-26,2015-09-30,2015-10-02 16:48:00,511,"Adults - Democrat","Internet",46,25,19,1,NA,1,0,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22834",NA,"Nonpartisan","None",4,"6","Saturday","09","September",3,"2015"
"121","YouGov/Economist",2015-09-25,2015-09-29,2015-10-01 18:09:28,636,"Registered Voters - Democrat","Internet",48,25,20,0,NA,2,1,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22830",NA,"Nonpartisan","None",4,"5","Friday","09","September",3,"2015"
"122","Suffolk/USA Today",2015-09-24,2015-09-28,2015-09-30 16:27:03,430,"Likely Voters - Democrat","Live Phone",41,23,20,1,0,0,0,14,"http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-22822",NA,"Nonpartisan","None",4,"4","Thursday","09","September",3,"2015"
"123","Morning Consult",2015-09-24,2015-09-27,2015-09-29 19:40:45,643,"Registered Voters - Democrat","Internet",44,23,19,0,NA,0,1,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22813",NA,"Nonpartisan","None",3,"4","Thursday","09","September",3,"2015"
"124","NBC/WSJ",2015-09-20,2015-09-24,2015-09-28 15:55:22,256,"Likely Voters - Democrat","Live Phone",42,35,17,0,NA,0,1,5,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22803",NA,"Nonpartisan","None",4,"0","Sunday","09","September",3,"2015"
"125","Ipsos/Reuters",2015-09-19,2015-09-23,2015-09-25 21:18:59,608,"Adults - Democrat","Internet",40,30,15,0,NA,2,0,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22797",NA,"Nonpartisan","None",4,"6","Saturday","09","September",3,"2015"
"126","FOX",2015-09-20,2015-09-22,2015-09-24 22:22:11,381,"Likely Voters - Democrat","Live Phone",44,30,18,0,NA,2,1,3,"http://elections.huffingtonpost.com/pollster/polls/fox-22789",NA,"Nonpartisan","None",2,"0","Sunday","09","September",3,"2015"
"127","Bloomberg/Selzer",2015-09-18,2015-09-21,2015-09-23 20:05:17,375,"Registered Voters - Democrat","Live Phone",33,24,25,0,NA,1,2,7,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-22782",NA,"Nonpartisan","None",3,"5","Friday","09","September",3,"2015"
"128","Quinnipiac",2015-09-17,2015-09-21,2015-09-24 22:15:01,587,"Registered Voters - Democrat","Live Phone",43,25,18,0,0,0,0,12,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22788",NA,"Nonpartisan","None",4,"4","Thursday","09","September",3,"2015"
"129","Morning Consult",2015-09-18,2015-09-20,2015-09-22 17:53:47,1761,"Registered Voters - Democrat","Internet",49,28,NA,1,NA,2,1,13,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22771",NA,"Nonpartisan","None",2,"5","Friday","09","September",3,"2015"
"130","Zogby (Internet)",2015-09-18,2015-09-19,2015-09-24 00:35:58,515,"Likely Voters - Democrat","Internet",52,24,NA,NA,NA,3,2,19,"http://elections.huffingtonpost.com/pollster/polls/zogby-internet-22785",NA,"Nonpartisan","None",1,"5","Friday","09","September",3,"2015"
"131","CNN",2015-09-17,2015-09-19,2015-09-21 19:11:48,329,"Registered Voters - Democrat","Live Phone",42,24,22,0,NA,1,0,6,"http://elections.huffingtonpost.com/pollster/polls/cnn-22760",NA,"Nonpartisan","None",2,"4","Thursday","09","September",3,"2015"
"132","NBC/SurveyMonkey",2015-09-16,2015-09-18,2015-09-22 05:54:00,1774,"Registered Voters - Democrat","Internet",41,29,15,0,0,1,1,9,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22767",NA,"Nonpartisan","None",2,"3","Wednesday","09","September",3,"2015"
"133","Ipsos/Reuters",2015-09-12,2015-09-16,2015-09-18 19:33:27,642,"Adults - Democrat","Internet",46,25,18,0,NA,0,1,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22748",NA,"Nonpartisan","None",4,"6","Saturday","09","September",3,"2015"
"134","YouGov/Economist",2015-09-11,2015-09-15,2015-09-18 04:06:51,651,"Registered Voters - Democrat","Internet",45,26,19,1,NA,1,1,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22742",NA,"Nonpartisan","None",4,"5","Friday","09","September",3,"2015"
"135","Morning Consult",2015-09-11,2015-09-13,2015-09-18 03:24:39,955,"Registered Voters - Democrat","Internet",54,24,NA,0,NA,2,2,12,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22738",NA,"Nonpartisan","None",2,"5","Friday","09","September",3,"2015"
"136","CBS/Times",2015-09-09,2015-09-13,2015-09-18 03:06:54,351,"Likely Voters - Democrat","Live Phone",47,27,15,1,NA,0,1,7,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-22736",NA,"Nonpartisan","None",4,"3","Wednesday","09","September",3,"2015"
"137","ABC/Post",2015-09-07,2015-09-10,2015-09-14 20:25:47,356,"Registered Voters - Democrat","Live Phone",42,24,21,1,NA,2,1,9,"http://elections.huffingtonpost.com/pollster/polls/abc-post-22723",NA,"Nonpartisan","None",3,"1","Monday","09","September",3,"2015"
"138","Ipsos/Reuters",2015-09-05,2015-09-09,2015-09-11 20:35:48,625,"Adults - Democrat","Internet",42,28,14,1,NA,3,0,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22709",NA,"Nonpartisan","None",4,"6","Saturday","09","September",3,"2015"
"139","Emerson College Polling Society",2015-09-05,2015-09-08,2015-09-10 18:55:35,392,"Likely Voters - Democrat","Automated Phone",48,21,21,NA,NA,1,1,7,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22699",NA,"Nonpartisan","None",3,"6","Saturday","09","September",3,"2015"
"140","CNN",2015-09-04,2015-09-08,2015-09-11 06:14:40,395,"Registered Voters - Democrat","Live Phone",37,27,20,0,NA,3,2,5,"http://elections.huffingtonpost.com/pollster/polls/cnn-22704",NA,"Nonpartisan","None",4,"5","Friday","09","September",3,"2015"
"141","Morning Consult",2015-09-04,2015-09-07,2015-09-11 01:23:37,893,"Registered Voters - Democrat","Internet",51,27,NA,1,NA,1,1,13,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22702",NA,"Nonpartisan","None",3,"5","Friday","09","September",3,"2015"
"142","Monmouth University",2015-08-31,2015-09-02,2015-09-08 21:05:33,339,"Registered Voters - Democrat","Live Phone",42,20,22,0,NA,1,1,14,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22682",NA,"Nonpartisan","None",2,"1","Monday","08","August",3,"2015"
"143","Ipsos/Reuters",2015-08-29,2015-09-02,2015-09-05 01:01:15,606,"Adults - Democrat","Internet",44,24,17,1,NA,0,0,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22681",NA,"Nonpartisan","None",4,"6","Saturday","08","August",3,"2015"
"144","YouGov/Economist",2015-08-28,2015-09-01,2015-09-04 00:23:18,647,"Registered Voters - Democrat","Internet",44,25,21,0,NA,2,1,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22658",NA,"Nonpartisan","None",4,"5","Friday","08","August",3,"2015"
"145","Morning Consult",2015-08-28,2015-08-30,2015-09-01 01:13:04,913,"Registered Voters - Democrat","Internet",52,23,NA,1,NA,1,2,14,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22639",NA,"Nonpartisan","None",2,"5","Friday","08","August",3,"2015"
"146","PPP (D)",2015-08-28,2015-08-30,2015-09-01 18:55:29,545,"Likely Voters - Democrat","IVR/Online",55,20,NA,1,1,4,3,15,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22644",NA,"Pollster","Dem",2,"5","Friday","08","August",3,"2015"
"147","Ipsos/Reuters",2015-08-22,2015-08-26,2015-08-28 22:44:47,452,"Adults - Democrat","Internet",48,22,15,0,NA,1,2,9,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22625",NA,"Nonpartisan","None",4,"6","Saturday","08","August",3,"2015"
"148","Quinnipiac",2015-08-20,2015-08-25,2015-08-27 20:23:23,647,"Registered Voters - Democrat","Live Phone",45,22,18,0,NA,1,1,13,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22620",NA,"Nonpartisan","None",5,"4","Thursday","08","August",3,"2015"
"149","Gravis Marketing/One America News",2015-08-21,2015-08-22,2015-08-28 01:14:31,1266,"Likely Voters - Democrat","Automated Phone",54,21,13,1,NA,2,2,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22623",NA,"Sponsor","Rep",1,"5","Friday","08","August",3,"2015"
"150","Ipsos/Reuters",2015-08-15,2015-08-19,2015-08-22 01:07:31,356,"Adults - Democrat","Internet",47,23,12,1,NA,1,1,11,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22595",NA,"Nonpartisan","None",4,"6","Saturday","08","August",3,"2015"
"151","YouGov/Economist",2015-08-14,2015-08-18,2015-08-24 22:00:52,676,"Registered Voters - Democrat","Internet",47,26,14,1,NA,1,1,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22601",NA,"Nonpartisan","None",4,"5","Friday","08","August",3,"2015"
"152","Morning Consult",2015-08-14,2015-08-16,2015-08-17 21:24:54,884,"Registered Voters - Democrat","Internet",50,24,NA,1,NA,3,1,21,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22565",NA,"Nonpartisan","None",2,"5","Friday","08","August",3,"2015"
"153","CNN",2015-08-13,2015-08-16,2015-08-19 18:29:16,358,"Registered Voters - Democrat","Live Phone",47,29,14,0,NA,2,1,3,"http://elections.huffingtonpost.com/pollster/polls/cnn-22576",NA,"Nonpartisan","None",3,"4","Thursday","08","August",3,"2015"
"154","FOX",2015-08-11,2015-08-13,2015-08-17 19:09:50,401,"Likely Voters - Democrat","Live Phone",49,30,10,0,NA,1,1,4,"http://elections.huffingtonpost.com/pollster/polls/fox-22562",NA,"Nonpartisan","None",2,"2","Tuesday","08","August",3,"2015"
"155","Ipsos/Reuters",2015-08-08,2015-08-12,2015-08-14 21:17:02,520,"Adults - Democrat","Internet",55,18,11,0,NA,2,1,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22559",NA,"Nonpartisan","None",4,"6","Saturday","08","August",3,"2015"
"156","Morning Consult",2015-08-07,2015-08-09,2015-08-10 21:38:34,896,"Registered Voters - Democrat","Internet",56,19,NA,1,NA,4,2,12,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22526",NA,"Nonpartisan","None",2,"5","Friday","08","August",3,"2015"
"157","Ipsos/Reuters",2015-08-01,2015-08-05,2015-08-07 01:31:53,409,"Adults - Democrat","Internet",52,17,14,1,NA,1,0,11,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22515",NA,"Nonpartisan","None",4,"6","Saturday","08","August",3,"2015"
"158","Zogby (Internet)/ University of Akron",2015-08-03,2015-08-04,2015-08-06 21:06:17,459,"Likely Voters - Democrat","Internet",48,15,21,NA,NA,3,2,10,"http://elections.huffingtonpost.com/pollster/polls/zogby-internet-university-of-akron-22501",NA,"Nonpartisan","None",1,"1","Monday","08","August",3,"2015"
"159","YouGov/Economist",2015-07-31,2015-08-04,2015-08-07 21:46:40,635,"Registered Voters - Democrat","Internet",51,21,13,1,NA,1,2,10,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22516",NA,"Nonpartisan","None",4,"5","Friday","07","July",3,"2015"
"160","Morning Consult",2015-07-31,2015-08-03,2015-08-05 01:23:17,860,"Registered Voters - Democrat","Internet",60,16,NA,1,NA,2,2,13,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22487",NA,"Nonpartisan","None",3,"5","Friday","07","July",3,"2015"
"161","FOX",2015-07-30,2015-08-02,2015-08-04 02:31:58,499,"Likely Voters - Democrat","Live Phone",51,22,13,1,NA,1,1,6,"http://elections.huffingtonpost.com/pollster/polls/fox-22473",NA,"Nonpartisan","None",3,"4","Thursday","07","July",3,"2015"
"162","Monmouth University",2015-07-30,2015-08-02,2015-08-05 19:27:53,429,"Registered Voters - Democrat","Live Phone",52,16,12,0,NA,2,2,14,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22491",NA,"Nonpartisan","None",3,"4","Thursday","07","July",3,"2015"
"163","CBS",2015-07-29,2015-08-02,2015-08-06 01:01:56,362,"Likely Voters - Democrat","Live Phone",58,17,11,1,NA,1,2,7,"http://elections.huffingtonpost.com/pollster/polls/cbs-22498",NA,"Nonpartisan","None",4,"3","Wednesday","07","July",3,"2015"
"164","NBC/WSJ",2015-07-26,2015-07-30,2015-08-03 01:44:59,252,"Likely Voters - Democrat","Live Phone",59,25,NA,1,NA,3,3,8,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22460",NA,"Nonpartisan","None",4,"0","Sunday","07","July",3,"2015"
"165","Gravis Marketing/One America News",2015-07-29,2015-07-29,2015-08-05 22:47:03,803,"Likely Voters - Democrat","Automated Phone",55,18,8,2,NA,3,5,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22497",NA,"Sponsor","Rep",0,"3","Wednesday","07","July",3,"2015"
"166","Ipsos/Reuters",2015-07-25,2015-07-29,2015-08-05 00:43:28,505,"Adults - Democrat","Internet",58,15,12,0,NA,1,1,9,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22486",NA,"Nonpartisan","None",4,"6","Saturday","07","July",3,"2015"
"167","Emerson College Polling Society",2015-07-26,2015-07-28,2015-08-11 20:17:22,481,"Likely Voters - Democrat","Automated Phone",54,33,9,1,NA,2,1,NA,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22537",NA,"Nonpartisan","None",2,"0","Sunday","07","July",3,"2015"
"168","Quinnipiac",2015-07-23,2015-07-28,2015-08-03 00:50:33,681,"Registered Voters - Democrat","Live Phone",55,17,13,0,NA,1,1,12,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22459",NA,"Nonpartisan","None",5,"4","Thursday","07","July",3,"2015"
"169","CNN",2015-07-22,2015-07-25,2015-07-27 22:01:00,392,"Likely Voters - Democrat","Live Phone",56,19,15,0,NA,0,1,4,"http://elections.huffingtonpost.com/pollster/polls/cnn-22434",NA,"Nonpartisan","None",3,"3","Wednesday","07","July",3,"2015"
"170","PPP (D)",2015-07-20,2015-07-21,2015-07-23 17:55:26,496,"Likely Voters - Democrat","IVR/Online",57,22,NA,3,NA,2,5,12,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22415",NA,"Pollster","Dem",1,"1","Monday","07","July",3,"2015"
"171","YouGov/Economist",2015-07-18,2015-07-20,2015-07-24 23:47:03,320,"Registered Voters - Democrat","Internet",56,18,13,1,NA,0,0,10,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22430",NA,"Nonpartisan","None",2,"6","Saturday","07","July",3,"2015"
"172","Morning Consult",2015-07-17,2015-07-20,2015-07-21 23:09:47,882,"Registered Voters - Democrat","Internet",52,16,11,NA,NA,0,0,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22405",NA,"Nonpartisan","None",3,"5","Friday","07","July",3,"2015"
"173","ABC/Post",2015-07-16,2015-07-19,2015-07-21 01:22:48,357,"Registered Voters - Democrat","Live Phone",63,14,12,0,NA,1,2,6,"http://elections.huffingtonpost.com/pollster/polls/abc-post-22400",NA,"Nonpartisan","None",3,"4","Thursday","07","July",3,"2015"
"174","FOX",2015-07-13,2015-07-15,2015-07-17 02:36:39,316,"Likely Voters - Democrat","Live Phone",59,19,8,1,NA,1,1,5,"http://elections.huffingtonpost.com/pollster/polls/fox-22386",NA,"Nonpartisan","None",2,"1","Monday","07","July",3,"2015"
"175","Lincoln Park Strategies (D)",2015-07-09,2015-07-14,2015-07-21 19:25:50,421,"Likely Voters - Democrat","Internet",63,16,NA,0,NA,1,2,17,"http://elections.huffingtonpost.com/pollster/polls/lincoln-park-strategies-d-22402",NA,"Nonpartisan","None",5,"4","Thursday","07","July",3,"2015"
"176","Monmouth University",2015-07-09,2015-07-12,2015-07-15 18:02:33,357,"Registered Voters - Democrat","Live Phone",51,17,13,0,NA,1,1,17,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22377",NA,"Nonpartisan","None",3,"4","Thursday","07","July",3,"2015"
"177","Suffolk/USA Today",2015-07-09,2015-07-12,2015-07-16 00:19:28,434,"Likely Voters - Democrat","Live Phone",59,14,8,0,NA,0,2,16,"http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-22380",NA,"Nonpartisan","None",3,"4","Thursday","07","July",3,"2015"
"178","YouGov/Economist",2015-07-04,2015-07-06,2015-07-10 01:26:41,309,"Registered Voters - Democrat","Internet",55,24,8,0,NA,0,1,8,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22360",NA,"Nonpartisan","None",2,"6","Saturday","07","July",3,"2015"
"179","YouGov/Economist",2015-06-27,2015-06-29,2015-07-08 22:58:40,348,"Registered Voters - Democrat","Internet",59,19,9,0,NA,2,1,9,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22352",NA,"Nonpartisan","None",2,"6","Saturday","06","June",2,"2015"
"180","CNN",2015-06-26,2015-06-28,2015-07-01 18:33:34,490,"Likely Voters - Democrat","Live Phone",58,15,17,0,NA,1,1,5,"http://elections.huffingtonpost.com/pollster/polls/cnn-22330",NA,"Nonpartisan","None",2,"5","Friday","06","June",2,"2015"
"181","FOX",2015-06-21,2015-06-23,2015-06-25 19:39:57,375,"Registered Voters - Democrat","Live Phone",61,15,11,0,NA,1,2,5,"http://elections.huffingtonpost.com/pollster/polls/fox-22300",NA,"Nonpartisan","None",2,"0","Sunday","06","June",2,"2015"
"182","YouGov/Economist",2015-06-20,2015-06-22,2015-06-25 23:20:39,311,"Registered Voters - Democrat","Internet",55,18,11,0,NA,2,0,12,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22306",NA,"Nonpartisan","None",2,"6","Saturday","06","June",2,"2015"
"183","NBC/WSJ",2015-06-14,2015-06-18,2015-06-23 00:24:58,247,"Likely Voters - Democrat","Live Phone",75,15,NA,0,NA,2,4,3,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22284",NA,"Nonpartisan","None",4,"0","Sunday","06","June",2,"2015"
"184","YouGov/Economist",2015-06-13,2015-06-15,2015-06-19 19:38:31,312,"Registered Voters - Democrat","Internet",62,16,13,1,NA,1,1,6,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22276",NA,"Nonpartisan","None",2,"6","Saturday","06","June",2,"2015"
"185","Monmouth University",2015-06-11,2015-06-14,2015-06-16 17:48:00,350,"Registered Voters - Democrat","Live Phone",57,12,12,0,NA,1,2,16,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22255",NA,"Nonpartisan","None",3,"4","Thursday","06","June",2,"2015"
"186","PPP (D)",2015-06-11,2015-06-14,2015-06-17 18:33:48,471,"Likely Voters - Democrat","IVR/Online",65,9,NA,4,NA,5,4,12,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22258",NA,"Pollster","Dem",3,"4","Thursday","06","June",2,"2015"
"187","YouGov/Economist",2015-06-06,2015-06-08,2015-06-15 20:31:52,327,"Registered Voters - Democrat","Internet",57,11,13,2,NA,1,0,15,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22247",NA,"Nonpartisan","None",2,"6","Saturday","06","June",2,"2015"
"188","FOX",2015-05-31,2015-06-02,2015-06-04 19:00:34,395,"Registered Voters - Democrat","Live Phone",57,11,8,1,NA,4,2,6,"http://elections.huffingtonpost.com/pollster/polls/fox-22210",NA,"Nonpartisan","None",2,"0","Sunday","05","May",2,"2015"
"189","YouGov/Economist",2015-05-30,2015-06-01,2015-06-05 22:05:57,327,"Registered Voters - Democrat","Internet",61,11,13,1,NA,2,0,11,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22218",NA,"Nonpartisan","None",2,"6","Saturday","05","May",2,"2015"
