"","Pollster","Start.Date","End.Date","Entry.Date.Time","Number.of.Observations","Population","Mode","Trump","Cruz","Rubio","Carson","Kasich","Bush","Christie","Fiorina","Gilmore","Graham","Huckabee","Jindal","Pataki","Perry","Rand.Paul","Santorum","Walker","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Poll.Length","DOW","Weekday","Month","MonthName","Quarter","Year"
"82","NBC/SurveyMonkey",2015-11-15,2015-11-17,2015-11-20 14:12:40,2440,"Registered Voters - Republican","Internet",28,18,11,18,2,4,3,3,0,0,2,1,0,NA,2,1,NA,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23195",NA,"Nonpartisan","None",2,"0","Sunday","11","November",4,"2015"
"83","Morning Consult",2015-11-13,2015-11-16,2015-11-17 15:45:58,774,"Registered Voters - Republican","Internet",38,7,7,19,1,6,2,3,NA,1,3,0,0,NA,2,0,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23158",NA,"Nonpartisan","None",3,"5","Friday","11","November",4,"2015"
"84","Rasmussen",2015-11-11,2015-11-12,2015-11-13 17:55:34,572,"Likely Voters - Republican","Automated Phone",27,13,16,20,NA,8,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-23134",NA,"Nonpartisan","None",1,"3","Wednesday","11","November",4,"2015"
"85","Ipsos/Reuters",2015-11-07,2015-11-11,2015-11-17 21:36:06,555,"Adults - Republican","Internet",33,10,10,17,1,6,1,5,0,1,4,1,0,NA,3,2,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23166",NA,"Nonpartisan","None",4,"6","Saturday","11","November",4,"2015"
"86","Public Religion Research Institute",2015-11-06,2015-11-10,2015-11-23 16:21:55,147,"Likely Voters - Republican","Live Phone",20,10,9,27,3,8,3,2,NA,NA,6,NA,NA,NA,0,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23214",NA,"Nonpartisan","None",4,"5","Friday","11","November",4,"2015"
"87","YouGov/Economist",2015-11-05,2015-11-09,2015-11-10 19:09:31,446,"Registered Voters - Republican","Internet",32,10,13,18,4,3,3,3,1,1,4,2,0,NA,4,1,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23108",NA,"Nonpartisan","None",4,"4","Thursday","11","November",4,"2015"
"88","Morning Consult",2015-11-05,2015-11-08,2015-11-10 17:55:28,1567,"Registered Voters - Republican","Internet",34,7,7,19,1,8,2,2,NA,0,3,1,0,NA,2,1,NA,11,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23107",NA,"Nonpartisan","None",3,"4","Thursday","11","November",4,"2015"
"89","Ipsos/Reuters",2015-10-31,2015-11-04,2015-11-05 18:36:49,618,"Adults - Republican","Internet",29,8,10,19,2,10,3,5,0,1,3,1,1,NA,2,0,NA,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23076",NA,"Nonpartisan","None",4,"6","Saturday","10","October",4,"2015"
"90","McClatchy/Marist",2015-10-29,2015-11-04,2015-11-09 19:15:11,431,"Registered Voters - Republican","Live Phone",23,8,12,24,4,8,2,3,0,0,3,1,1,NA,5,1,NA,4,"http://elections.huffingtonpost.com/pollster/polls/mcclatchy-marist-23088",NA,"Nonpartisan","None",6,"4","Thursday","10","October",4,"2015"
"91","FOX",2015-11-01,2015-11-03,2015-11-04 23:23:33,476,"Likely Voters - Republican","Live Phone",26,11,11,23,4,4,2,3,0,0,4,0,0,NA,4,0,NA,5,"http://elections.huffingtonpost.com/pollster/polls/fox-23061",NA,"Nonpartisan","None",2,"0","Sunday","11","November",4,"2015"
"92","USC/LA Times/SurveyMonkey",2015-10-29,2015-11-03,2015-11-09 16:34:14,1292,"Registered Voters - Republican","Internet",25,10,12,21,2,4,1,4,0,0,2,1,0,NA,2,1,NA,13,"http://elections.huffingtonpost.com/pollster/polls/usc-la-times-surveymonkey-23085",NA,"Nonpartisan","None",5,"4","Thursday","10","October",4,"2015"
"93","Quinnipiac",2015-10-29,2015-11-02,2015-11-04 16:23:42,502,"Registered Voters - Republican","Live Phone",24,13,14,23,3,4,3,3,0,0,1,0,0,NA,2,1,NA,9,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23059",NA,"Nonpartisan","None",4,"4","Thursday","10","October",4,"2015"
"94","Ipsos/Reuters",2015-10-28,2015-11-02,2015-11-04 23:38:47,635,"Adults - Republican","Internet",31,6,10,18,3,10,3,5,0,0,3,1,0,NA,3,1,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23062",NA,"Nonpartisan","None",5,"3","Wednesday","10","October",4,"2015"
"95","Morning Consult",2015-10-29,2015-11-01,2015-11-03 20:26:04,937,"Registered Voters - Republican","Internet",31,9,7,21,1,7,4,2,NA,0,3,1,1,NA,3,0,NA,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23056",NA,"Nonpartisan","None",3,"4","Thursday","10","October",4,"2015"
"96","Zogby (Internet)",2015-10-30,2015-10-31,2015-11-09 20:46:00,344,"Likely Voters - Republican","Internet",30,8,10,17,2,7,2,2,0,1,2,1,0,NA,4,1,NA,11,"http://elections.huffingtonpost.com/pollster/polls/zogby-internet-23090",NA,"Nonpartisan","None",1,"5","Friday","10","October",4,"2015"
"97","NBC/SurveyMonkey",2015-10-27,2015-10-29,2015-11-03 21:53:33,3387,"Registered Voters - Republican","Internet",26,10,9,26,2,5,2,4,0,0,2,0,0,NA,2,0,NA,8,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23057",NA,"Nonpartisan","None",2,"2","Tuesday","10","October",4,"2015"
"98","NBC/WSJ",2015-10-25,2015-10-29,2015-11-02 23:33:31,400,"Likely Voters - Republican","Live Phone",23,10,11,29,3,8,3,3,0,0,3,0,0,NA,2,0,NA,4,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23050",NA,"Nonpartisan","None",4,"0","Sunday","10","October",4,"2015"
"99","IBD/TIPP",2015-10-24,2015-10-29,2015-10-31 22:19:16,402,"Registered Voters - Republican","Live Phone",28,6,11,23,1,6,1,3,NA,0,1,2,0,NA,2,1,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23038",NA,"Nonpartisan","None",5,"6","Saturday","10","October",4,"2015"
"100","Ipsos/Reuters",2015-10-24,2015-10-28,2015-10-29 16:44:01,584,"Adults - Republican","Internet",29,5,6,27,4,9,3,4,0,1,2,1,1,NA,3,0,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23026",NA,"Nonpartisan","None",4,"6","Saturday","10","October",4,"2015"
"101","YouGov/Economist",2015-10-23,2015-10-27,2015-10-28 18:21:17,447,"Registered Voters - Republican","Internet",32,8,11,18,4,8,2,3,0,1,2,1,0,NA,4,1,NA,3,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23013",NA,"Nonpartisan","None",4,"5","Friday","10","October",4,"2015"
"102","Gravis Marketing/One America News",2015-10-26,2015-10-26,2015-10-27 21:27:20,906,"Registered Voters - Republican","Automated Phone",36,6,11,22,3,8,2,6,NA,2,3,0,0,NA,2,1,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23004",NA,"Sponsor","Rep",0,"1","Monday","10","October",4,"2015"
"103","Morning Consult",2015-10-22,2015-10-25,2015-10-26 21:12:38,714,"Registered Voters - Republican","Internet",35,3,6,20,2,8,3,3,NA,0,4,2,1,NA,3,1,NA,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22994",NA,"Nonpartisan","None",3,"4","Thursday","10","October",4,"2015"
"104","CBS/Times",2015-10-21,2015-10-25,2015-10-27 12:12:22,575,"Likely Voters - Republican","Live Phone",22,4,8,26,4,7,1,7,0,2,4,0,0,NA,4,1,NA,6,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-22995",NA,"Nonpartisan","None",4,"3","Wednesday","10","October",4,"2015"
"105","Ipsos/Reuters",2015-10-17,2015-10-21,2015-10-23 17:26:32,806,"Adults - Republican","Internet",31,5,6,18,4,9,3,6,0,1,4,2,1,NA,3,1,NA,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22974",NA,"Nonpartisan","None",4,"6","Saturday","10","October",4,"2015"
"106","Morning Consult",2015-10-15,2015-10-19,2015-10-20 17:31:31,770,"Registered Voters - Republican","Internet",40,5,5,14,2,6,4,3,NA,1,3,1,1,NA,2,1,NA,12,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22950",NA,"Nonpartisan","None",4,"4","Thursday","10","October",4,"2015"
"107","ABC/Post",2015-10-15,2015-10-18,2015-10-21 12:14:45,364,"Registered Voters - Republican","Live Phone",32,6,10,22,2,7,3,5,NA,1,3,0,1,NA,2,0,NA,3,"http://elections.huffingtonpost.com/pollster/polls/abc-post-22956",NA,"Nonpartisan","None",3,"4","Thursday","10","October",4,"2015"
"108","Monmouth University",2015-10-15,2015-10-18,2015-10-20 16:24:29,348,"Registered Voters - Republican","Live Phone",28,10,6,18,1,5,3,6,0,1,4,1,0,NA,4,0,NA,12,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22949",NA,"Nonpartisan","None",3,"4","Thursday","10","October",4,"2015"
"109","NBC/WSJ",2015-10-15,2015-10-18,2015-10-19 21:14:25,400,"Likely Voters - Republican","Live Phone",25,9,13,22,3,8,1,7,0,0,3,0,0,NA,2,0,NA,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22940",NA,"Nonpartisan","None",3,"4","Thursday","10","October",4,"2015"
"110","Emerson College Polling Society",2015-10-16,2015-10-17,2015-10-20 18:55:01,403,"Likely Voters - Republican","Automated Phone",32,6,14,23,3,8,2,6,NA,NA,4,NA,NA,NA,0,0,NA,2,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22951",NA,"Nonpartisan","None",1,"5","Friday","10","October",4,"2015"
"111","CNN",2015-10-14,2015-10-17,2015-10-20 14:11:20,298,"Registered Voters - Republican","Live Phone",27,4,8,22,3,8,4,4,0,1,5,0,0,NA,5,2,NA,6,"http://elections.huffingtonpost.com/pollster/polls/cnn-22943",NA,"Nonpartisan","None",3,"3","Wednesday","10","October",4,"2015"
"112","NBC/SurveyMonkey",2015-10-13,2015-10-15,2015-10-16 20:53:14,1881,"Registered Voters - Republican","Internet",28,6,9,23,3,5,2,6,0,0,3,1,0,NA,2,0,NA,7,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22931",NA,"Nonpartisan","None",2,"2","Tuesday","10","October",4,"2015"
"113","Ipsos/Reuters",2015-10-10,2015-10-14,2015-10-16 21:05:43,492,"Adults - Republican","Internet",33,4,8,19,2,11,3,3,1,0,3,1,0,NA,4,1,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22933",NA,"Nonpartisan","None",4,"6","Saturday","10","October",4,"2015"
"114","Morning Consult",2015-10-08,2015-10-12,2015-10-13 15:48:47,749,"Registered Voters - Republican","Internet",34,5,5,20,3,9,2,5,NA,1,4,0,1,NA,3,1,NA,7,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22902",NA,"Nonpartisan","None",4,"4","Thursday","10","October",4,"2015"
"115","YouGov/Economist",2015-10-08,2015-10-12,2015-10-14 21:28:25,434,"Registered Voters - Republican","Internet",28,8,11,18,3,7,3,9,0,1,3,1,0,NA,3,0,NA,3,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22919",NA,"Nonpartisan","None",4,"4","Thursday","10","October",4,"2015"
"116","CBS",2015-10-04,2015-10-08,2015-10-12 15:48:21,339,"Registered Voters - Republican","Live Phone",27,9,8,21,2,6,3,6,NA,NA,2,0,0,NA,4,1,NA,11,"http://elections.huffingtonpost.com/pollster/polls/cbs-22888",NA,"Nonpartisan","None",4,"0","Sunday","10","October",4,"2015"
"117","Ipsos/Reuters",2015-10-03,2015-10-07,2015-10-08 14:41:05,602,"Adults - Republican","Internet",31,4,7,17,1,14,3,7,0,0,4,0,0,NA,4,0,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22871",NA,"Nonpartisan","None",4,"6","Saturday","10","October",4,"2015"
"118","Morning Consult",2015-10-02,2015-10-05,2015-10-06 21:34:11,807,"Registered Voters - Republican","Internet",31,5,10,13,4,7,4,6,NA,1,2,0,1,NA,3,1,NA,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22858",NA,"Nonpartisan","None",3,"5","Friday","10","October",4,"2015"
"119","Fairleigh Dickinson",2015-10-01,2015-10-05,2015-10-08 22:22:35,305,"Registered Voters - Republican","Live Phone",26,5,8,22,1,7,3,7,0,0,6,1,0,NA,4,0,NA,9,"http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-22878",NA,"Nonpartisan","None",4,"4","Thursday","10","October",4,"2015"
"120","PPP (D)",2015-10-01,2015-10-04,2015-10-06 18:56:54,627,"Likely Voters - Republican","IVR/Online",27,7,13,17,4,10,2,6,0,1,4,1,1,NA,2,2,NA,3,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22856",NA,"Pollster","Dem",3,"4","Thursday","10","October",4,"2015"
"121","Public Religion Research Institute",2015-09-11,2015-10-04,2015-11-23 17:38:53,308,"Likely Voters - Republican","Live Phone",25,5,9,16,4,11,3,13,NA,NA,5,0,NA,NA,2,1,3,1,"http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23215",NA,"Nonpartisan","None",23,"5","Friday","09","September",3,"2015"
"122","Gravis Marketing/One America News",2015-09-30,2015-10-01,2015-10-07 17:07:13,898,"Likely Voters - Republican","Automated Phone",35,7,11,17,3,7,2,9,NA,0,5,0,0,NA,3,1,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22863",NA,"Sponsor","Rep",1,"3","Wednesday","09","September",3,"2015"
"123","IBD/TIPP",2015-09-26,2015-10-01,2015-10-05 15:55:07,377,"Registered Voters - Republican","Live Phone",17,6,11,24,4,8,2,9,NA,NA,2,NA,NA,NA,3,NA,NA,9,"http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-22844",NA,"Nonpartisan","None",5,"6","Saturday","09","September",3,"2015"
"124","Ipsos/Reuters",2015-09-26,2015-09-30,2015-10-02 16:48:00,481,"Adults - Republican","Internet",32,5,7,12,1,10,5,8,1,0,3,1,0,NA,7,2,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22834",NA,"Nonpartisan","None",4,"6","Saturday","09","September",3,"2015"
"125","YouGov/Economist",2015-09-25,2015-09-29,2015-10-01 18:09:28,450,"Registered Voters - Republican","Internet",25,9,16,15,4,7,3,8,1,0,2,2,0,NA,4,1,NA,2,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22830",NA,"Nonpartisan","None",4,"5","Friday","09","September",3,"2015"
"126","Suffolk/USA Today",2015-09-24,2015-09-28,2015-09-30 16:27:03,380,"Likely Voters - Republican","Live Phone",23,6,9,13,2,8,1,13,NA,1,2,1,0,NA,2,0,NA,18,"http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-22822",NA,"Nonpartisan","None",4,"4","Thursday","09","September",3,"2015"
"127","Morning Consult",2015-09-24,2015-09-27,2015-09-29 19:40:45,637,"Registered Voters - Republican","Internet",30,5,9,15,1,10,4,9,NA,0,3,0,1,NA,3,1,NA,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22813",NA,"Nonpartisan","None",3,"4","Thursday","09","September",3,"2015"
"128","NBC/WSJ",2015-09-20,2015-09-24,2015-09-28 15:55:22,230,"Likely Voters - Republican","Live Phone",21,5,11,20,6,7,3,11,0,0,2,1,0,NA,3,1,NA,8,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-22803",NA,"Nonpartisan","None",4,"0","Sunday","09","September",3,"2015"
"129","Ipsos/Reuters",2015-09-19,2015-09-23,2015-09-25 21:18:59,572,"Adults - Republican","Internet",30,5,6,18,3,10,3,8,2,1,3,1,0,NA,2,1,2,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22797",NA,"Nonpartisan","None",4,"6","Saturday","09","September",3,"2015"
"130","FOX",2015-09-20,2015-09-22,2015-09-24 22:22:11,398,"Likely Voters - Republican","Live Phone",26,8,9,18,4,7,5,9,0,0,3,0,1,NA,2,0,NA,4,"http://elections.huffingtonpost.com/pollster/polls/fox-22789",NA,"Nonpartisan","None",2,"0","Sunday","09","September",3,"2015"
"131","Bloomberg/Selzer",2015-09-18,2015-09-21,2015-09-24 22:08:04,391,"Registered Voters - Republican","Live Phone",21,5,8,16,4,13,4,11,0,0,3,1,0,NA,2,1,1,10,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-22787",NA,"Nonpartisan","None",3,"5","Friday","09","September",3,"2015"
"132","Quinnipiac",2015-09-17,2015-09-21,2015-09-24 22:15:01,737,"Registered Voters - Republican","Live Phone",25,7,9,17,2,10,2,12,0,0,2,0,1,NA,1,0,NA,9,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22788",NA,"Nonpartisan","None",4,"4","Thursday","09","September",3,"2015"
"133","Morning Consult",2015-09-18,2015-09-20,2015-09-22 17:53:47,1551,"Registered Voters - Republican","Internet",32,5,5,12,2,11,4,6,NA,0,4,1,1,NA,3,1,3,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22771",NA,"Nonpartisan","None",2,"5","Friday","09","September",3,"2015"
"134","Zogby (Internet)",2015-09-18,2015-09-19,2015-09-22 18:52:41,405,"Likely Voters - Republican","Internet",33,5,4,13,4,9,3,7,0,1,2,0,0,NA,4,1,2,12,"http://elections.huffingtonpost.com/pollster/polls/zogby-internet-22775",NA,"Nonpartisan","None",1,"5","Friday","09","September",3,"2015"
"135","CNN",2015-09-17,2015-09-19,2015-09-21 19:19:45,924,"Registered Voters - Republican","Live Phone",24,6,11,14,2,9,3,15,0,0,6,0,0,NA,4,1,0,4,"http://elections.huffingtonpost.com/pollster/polls/cnn-22761",NA,"Nonpartisan","None",2,"4","Thursday","09","September",3,"2015"
"136","NBC/SurveyMonkey",2015-09-16,2015-09-18,2015-09-22 05:58:26,2070,"Registered Voters - Democrat","Internet",29,7,7,14,2,8,3,11,0,0,2,0,1,NA,3,0,3,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22768",NA,"Nonpartisan","None",2,"3","Wednesday","09","September",3,"2015"
"137","Gravis Marketing/One America News",2015-09-16,2015-09-16,2015-09-18 22:31:36,1337,"Likely Voters - Republican","Automated Phone",22,6,15,12,4,6,4,22,1,0,2,1,0,NA,2,1,3,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22755",NA,"Sponsor","Rep",0,"3","Wednesday","09","September",3,"2015"
"138","Ipsos/Reuters",2015-09-12,2015-09-16,2015-09-18 19:33:27,532,"Adults - Republican","Internet",35,5,3,14,2,8,6,2,0,0,7,1,0,NA,2,1,4,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22748",NA,"Nonpartisan","None",4,"6","Saturday","09","September",3,"2015"
"139","YouGov/Economist",2015-09-11,2015-09-15,2015-09-18 04:06:51,436,"Registered Voters - Republican","Internet",33,8,7,17,3,7,2,6,0,1,2,0,1,0,4,1,5,4,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22742",NA,"Nonpartisan","None",4,"5","Friday","09","September",3,"2015"
"140","Morning Consult",2015-09-11,2015-09-13,2015-09-18 03:24:39,756,"Registered Voters - Republican","Internet",33,6,3,17,2,9,2,3,NA,0,3,1,2,NA,5,1,2,10,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22738",NA,"Nonpartisan","None",2,"5","Friday","09","September",3,"2015"
"141","CBS/Times",2015-09-09,2015-09-13,2015-09-18 03:01:07,376,"Likely Voters - Republican","Live Phone",27,5,6,23,3,6,1,4,NA,0,6,0,0,1,3,1,2,9,"http://elections.huffingtonpost.com/pollster/polls/cbs-times-22735",NA,"Nonpartisan","None",4,"3","Wednesday","09","September",3,"2015"
"142","ABC/Post",2015-09-07,2015-09-10,2015-09-14 20:25:47,342,"Registered Voters - Republican","Live Phone",33,7,7,20,3,8,1,2,0,0,3,1,0,1,5,1,2,5,"http://elections.huffingtonpost.com/pollster/polls/abc-post-22723",NA,"Nonpartisan","None",3,"1","Monday","09","September",3,"2015"
"143","Ipsos/Reuters",2015-09-05,2015-09-09,2015-09-11 20:35:48,469,"Adults - Republican","Internet",35,6,4,12,3,8,3,2,0,1,5,2,0,2,3,2,6,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22709",NA,"Nonpartisan","None",4,"6","Saturday","09","September",3,"2015"
"144","Emerson College Polling Society",2015-09-05,2015-09-08,2015-09-10 18:55:35,409,"Likely Voters - Republican","Automated Phone",34,6,8,20,4,12,1,3,NA,0,4,NA,NA,0,1,NA,5,2,"http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-22699",NA,"Nonpartisan","None",3,"6","Saturday","09","September",3,"2015"
"145","CNN",2015-09-04,2015-09-08,2015-09-10 18:22:16,474,"Registered Voters - Republican","Live Phone",32,7,3,19,2,9,2,3,0,1,5,1,0,0,3,1,5,4,"http://elections.huffingtonpost.com/pollster/polls/cnn-22698",NA,"Nonpartisan","None",4,"5","Friday","09","September",3,"2015"
"146","Morning Consult",2015-09-04,2015-09-07,2015-09-11 01:23:37,722,"Registered Voters - Republican","Internet",31,5,4,18,2,9,4,3,NA,1,4,1,0,3,2,1,4,9,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22702",NA,"Nonpartisan","None",3,"5","Friday","09","September",3,"2015"
"147","Monmouth University",2015-08-31,2015-09-02,2015-09-03 21:13:28,366,"Registered Voters - Republican","Live Phone",30,8,5,18,2,8,2,4,0,0,4,0,0,1,2,0,3,11,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22655",NA,"Nonpartisan","None",2,"1","Monday","08","August",3,"2015"
"148","Ipsos/Reuters",2015-08-29,2015-09-02,2015-09-05 01:01:15,578,"Adults - Republican","Internet",31,6,3,15,5,12,2,3,0,0,6,1,0,2,2,1,5,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22681",NA,"Nonpartisan","None",4,"6","Saturday","08","August",3,"2015"
"149","YouGov/Economist",2015-08-28,2015-09-01,2015-09-04 00:23:18,429,"Registered Voters - Republican","Internet",36,6,7,11,4,8,3,3,0,1,4,1,NA,0,4,1,6,5,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22658",NA,"Nonpartisan","None",4,"5","Friday","08","August",3,"2015"
"150","Morning Consult",2015-08-28,2015-08-30,2015-09-01 01:13:04,769,"Registered Voters - Republican","Internet",37,4,6,9,2,9,3,3,NA,0,6,1,0,1,4,2,5,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22639",NA,"Nonpartisan","None",2,"5","Friday","08","August",3,"2015"
"151","PPP (D)",2015-08-28,2015-08-30,2015-09-01 18:52:32,572,"Likely Voters - Republican","IVR/Online",29,6,7,15,6,9,2,8,1,0,5,0,0,1,1,2,5,1,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22643",NA,"Pollster","Dem",2,"5","Friday","08","August",3,"2015"
"152","Ipsos/Reuters",2015-08-22,2015-08-26,2015-08-28 22:44:47,412,"Adults - Republican","Internet",30,5,5,8,1,7,2,5,1,1,10,1,0,3,5,1,5,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22625",NA,"Nonpartisan","None",4,"6","Saturday","08","August",3,"2015"
"153","Quinnipiac",2015-08-20,2015-08-25,2015-08-27 20:23:23,666,"Registered Voters - Republican","Live Phone",28,7,7,12,5,7,4,5,0,0,3,0,0,1,2,1,6,11,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22620",NA,"Nonpartisan","None",5,"4","Thursday","08","August",3,"2015"
"154","Gravis Marketing/One America News",2015-08-21,2015-08-22,2015-08-28 01:14:31,1211,"Likely Voters - Republican","Automated Phone",40,7,5,13,5,10,1,5,NA,1,4,1,1,2,2,1,4,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-22623",NA,"Sponsor","Rep",1,"5","Friday","08","August",3,"2015"
"155","Ipsos/Reuters",2015-08-15,2015-08-19,2015-08-22 01:07:31,291,"Adults - Republican","Internet",29,4,4,9,2,10,4,5,0,1,7,2,0,4,5,1,9,5,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22595",NA,"Nonpartisan","None",4,"6","Saturday","08","August",3,"2015"
"156","Civis Analytics (D)",2015-08-10,2015-08-19,2015-08-27 19:36:25,757,"Likely Voters - Republican","Live Phone",16,7,7,11,3,9,2,3,0,0,7,0,0,2,3,1,5,24,"http://elections.huffingtonpost.com/pollster/polls/civis-analytics-d-22618",NA,"Pollster","Dem",9,"1","Monday","08","August",3,"2015"
"157","YouGov/Economist",2015-08-14,2015-08-18,2015-08-24 22:00:52,451,"Registered Voters - Republican","Internet",25,7,9,11,4,9,3,6,1,0,3,1,0,0,3,1,9,7,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22601",NA,"Nonpartisan","None",4,"5","Friday","08","August",3,"2015"
"158","Morning Consult",2015-08-14,2015-08-16,2015-08-18 20:07:58,783,"Registered Voters - Republican","Internet",32,5,6,7,3,12,4,4,NA,1,6,1,0,2,4,1,3,11,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22573",NA,"Nonpartisan","None",2,"5","Friday","08","August",3,"2015"
"159","CNN",2015-08-13,2015-08-16,2015-08-18 18:08:54,506,"Registered Voters - Republican","Live Phone",24,5,8,9,5,13,3,5,0,0,4,0,0,2,6,1,8,4,"http://elections.huffingtonpost.com/pollster/polls/cnn-22572",NA,"Nonpartisan","None",3,"4","Thursday","08","August",3,"2015"
"160","FOX",2015-08-11,2015-08-13,2015-08-17 19:09:50,381,"Likely Voters - Republican","Live Phone",25,10,4,12,4,9,3,5,0,0,6,1,1,1,3,1,6,7,"http://elections.huffingtonpost.com/pollster/polls/fox-22562",NA,"Nonpartisan","None",2,"2","Tuesday","08","August",3,"2015"
"161","Ipsos/Reuters",2015-08-08,2015-08-12,2015-08-14 21:17:02,457,"Adults - Republican","Internet",21,5,8,8,1,12,3,6,NA,2,7,2,1,2,6,1,5,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22559",NA,"Nonpartisan","None",4,"6","Saturday","08","August",3,"2015"
"162","Rasmussen",2015-08-09,2015-08-10,2015-08-12 01:40:22,651,"Likely Voters - Republican","Automated Phone",17,7,10,8,4,10,4,9,1,1,3,1,0,1,4,1,9,11,"http://elections.huffingtonpost.com/pollster/polls/rasmussen-22544",NA,"Nonpartisan","None",1,"0","Sunday","08","August",3,"2015"
"163","Ipsos/Reuters",2015-08-06,2015-08-10,2015-08-11 00:21:44,278,"Adults - Republican","Internet",24,5,8,8,4,12,1,6,NA,3,8,1,0,1,3,1,7,8,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-22529",NA,"Nonpartisan","None",4,"4","Thursday","08","August",3,"2015"
"164","Morning Consult",2015-08-07,2015-08-09,2015-08-10 21:38:34,746,"Registered Voters - Republican","Internet",32,4,6,9,3,11,4,3,NA,1,4,1,0,1,5,1,6,8,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22526",NA,"Nonpartisan","None",2,"5","Friday","08","August",3,"2015"
"165","NBC/SurveyMonkey",2015-08-07,2015-08-08,2015-08-10 20:33:47,1591,"Registered Voters - Republican","Internet",23,13,8,11,2,7,1,8,0,1,4,1,0,2,5,0,7,6,"http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-22522",NA,"Nonpartisan","None",1,"5","Friday","08","August",3,"2015"
